"category","text"
"steam","Your Steam account has been suspended. Verify here: hxxp://steam-check.com/login"
"steam","You’ve received a free CS:GO skin! Claim it now: hxxp://steam-giftz.ru"
"steam","Security alert: Someone tried logging into your Steam account from Russia. Reset: hxxp://steamsupport-sec.com"
"steam","Final warning! Your account will be permanently disabled in 24h. Confirm here: hxxp://valve-safe.net"
"steam","You’ve been nominated for a free $50 Steam gift card! Redeem: hxxp://getsteamgift.co"
"steam","Please re-enter your password to verify account ownership: hxxp://secure-steamlogin.com"
"steam","Trade request pending, accept now before it expires: hxxp://skins-fast.trade"
"steam","Update required for Steam Guard. Download here: hxxp://steam-guard-protect.com"
"steam","Free weekend giveaway! Unlock games instantly: hxxp://steamfreeevent.site"
"steam","Unusual activity detected. To restore access, confirm here: hxxp://steamverify.co"
"steam","Your Steam account may be locked soon. Validate now: hxxp://steam-checksafe.ru"
"steam","Get free Dota 2 skins instantly: hxxp://dota2skins-now.net"
"steam","Steam Wallet error detected. Fix here: hxxp://walletfix-steam.co"
"steam","Important: Confirm your billing info today: hxxp://steam-billing.info"
"steam","Exclusive beta access waiting! hxxp://steam-beta-access.com"
"steam","Steam Guard has expired. Renew now: hxxp://steamguard-repair.net"
"steam","Unverified device login detected. Reconfirm here: hxxp://steam-secureauth.ru"
"steam","Claim your free Half-Life pack: hxxp://steamfreegamez.org"
"steam","Urgent! Update payment information: hxxp://steamupdate-payments.net"
"steam","Limited event! Free Steam keys: hxxp://steamevent-gift.com"
"omegle","Omegle is shutting down, move to new service! hxxp://omegle-newchat.app"
"omegle","Verify your Omegle age to continue chatting: hxxp://adultcheck-omegle.net"
"omegle","You’ve been reported for misconduct. Appeal here: hxxp://omegle-securepage.com"
"omegle","Exclusive invite to Omegle Premium! hxxp://omegle-premium.chat"
"omegle","To keep your account, please verify identity: hxxp://omegle-auth.site"
"omegle","Video chat verification needed. Click here: hxxp://livechat-safe.org"
"omegle","Omegle rewards program: Earn free coins! hxxp://omegle-reward.co"
"omegle","Your chat logs will be deleted unless confirmed: hxxp://omegle-restore.info"
"omegle","Claim free webcam filters now: hxxp://omegle-filters.app"
"omegle","Omegle security upgrade required: hxxp://omegle-update.co"
"omegle","Reconnect faster with Omegle Turbo: hxxp://omegle-turbo.net"
"omegle","Exclusive chat room unlocked: hxxp://omegle-room-access.org"
"omegle","Age verification failed. Fix here: hxxp://omegle-ageverify.co"
"omegle","Appeal your ban instantly: hxxp://omegle-banappeal.ru"
"omegle","Access hidden chat features: hxxp://omegle-pro-features.com"
"omegle","Omegle mobile app beta here: hxxp://omegle-mobilebeta.net"
"omegle","Private video invite: hxxp://omegle-privatechat.org"
"omegle","Claim premium video filters: hxxp://omegle-filterz.net"
"omegle","Upgrade to secure Omegle chat: hxxp://omegle-secureupdate.com"
"omegle","Reward unlocked! Collect: hxxp://omegle-rewardbonus.ru"
"instagram","We detected unusual login attempt. Verify here: hxxp://insta-securelogin.net"
"instagram","Your account will be disabled in 24h. Appeal here: hxxp://instagram-appeal.org"
"instagram","You’ve won free followers! Claim now: hxxp://insta-followgift.com"
"instagram","Confirm your email address or lose access: hxxp://insta-verify.ru"
"instagram","Copyright violation reported. Resolve: hxxp://instagram-copyrightfix.net"
"instagram","Two-factor authentication failed. Reset: hxxp://insta-2fareset.org"
"instagram","Get verified badge instantly! hxxp://insta-verifiedpage.co"
"instagram","See who viewed your profile: hxxp://insta-profileview.net"
"instagram","Exclusive offer: 10,000 likes free: hxxp://insta-likesboost.ru"
"instagram","Confirm to avoid suspension: hxxp://insta-suspensionfix.org"
"instagram","Instagram security center: hxxp://insta-securecenter.net"
"instagram","Reset password immediately: hxxp://insta-passwordreset.org"
"instagram","Your account has been cloned. Report: hxxp://insta-clonereport.com"
"instagram","Violation of community guidelines. Fix: hxxp://insta-guidelinesfix.ru"
"instagram","Suspicious activity detected. Validate: hxxp://insta-validatepage.net"
"instagram","Win free Instagram Pro! hxxp://insta-profree.ru"
"instagram","Appeal your disabled account: hxxp://insta-disabledfix.com"
"instagram","Check hidden messages: hxxp://insta-hiddenmsg.net"
"instagram","Exclusive blue tick event: hxxp://insta-bluetickbonus.ru"
"instagram","Confirm mobile number to continue: hxxp://insta-mobileverify.net"
"location","See who tracked your phone! hxxp://location-tracker.org"
"location","Your GPS data has been leaked. Secure: hxxp://gps-fix.net"
"location","Confirm location access now: hxxp://location-verify.co"
"location","Your phone has been located in another country! hxxp://find-myphone.ru"
"location","Family locator update required: hxxp://familytrack-update.org"
"location","Suspicious location login. Check here: hxxp://location-alert.net"
"location","Click to track your parcel location: hxxp://parcel-track-fake.com"
"location","Enable GPS security instantly: hxxp://gps-secureupdate.net"
"location","Location history needs confirmation: hxxp://location-historyfix.ru"
"location","Map error detected. Repair: hxxp://map-fix.net"
"location","Track your friend’s live location: hxxp://friend-tracker.org"
"location","Download free location tool: hxxp://gpsfreedownload.co"
"location","Update Google Maps immediately: hxxp://maps-update-fake.com"
"location","Delivery failed, confirm location: hxxp://delivery-fix.org"
"location","Your coordinates shared publicly. Stop: hxxp://coords-stop.net"
"location","Alert! Location mismatch detected: hxxp://gps-mismatch.ru"
"location","Track order faster here: hxxp://ordertrack-fake.org"
"location","Confirm Apple Find My account: hxxp://apple-findmy-fake.com"
"location","Secure your device’s GPS: hxxp://gpssecure-fix.org"
"location","Fake movement detected. Verify now: hxxp://movement-verify.net"
"steam","Your Steam account has a trade ban pending. Appeal now: hxxp://steam-appeal-trade.com"
"steam","Action Required: Unauthorized market listing. Cancel: hxxp://steam-market-secure.net"
"steam","Your Steam Wallet code is ready! Claim your $20: hxxp://steamwallet-claim.com"
"steam","Steam Summer Sale exclusive coupon: hxxp://steam-sale-coupon.ru"
"steam","Community ban alert! Verify your activity: hxxp://steam-community-appeal.org"
"steam","Your Steam Guard mobile authenticator is out of sync. Sync: hxxp://steam-mobile-sync.com"
"steam","Free game offer from Valve: ""Half-Life 3 Beta"". Install: hxxp://hl3-beta-download.com"
"steam","Payment dispute filed against your account. Resolve: hxxp://steam-payment-dispute.net"
"steam","Your account has been flagged for fraudulent activity. Clear: hxxp://steam-fraud-clearance.com"
"steam","Limited-time offer: Upgrade to Steam Family for free: hxxp://steam-family-upgrade.org"
"omegle","Your Omegle chat partner has filed a complaint. Respond: hxxp://omegle-complaint-response.com"
"omegle","Your IP has been logged for violations. Avoid ban: hxxp://omegle-ip-appeal.net"
"omegle","New message from a past chat partner. Read: hxxp://omegle-message-recovery.org"
"omegle","Omegle moderator wants to speak with you. Join: hxxp://omegle-mod-chat.com"
"omegle","Your video stream was recorded. Request deletion: hxxp://omegle-video-delete.net"
"omegle","Free Omegle VPN to bypass restrictions: hxxp://omegle-free-vpn.com"
"omegle","You've been selected for a user feedback survey. Start: hxxp://omegle-survey-rewards.ru"
"omegle","Account inactivity warning. Reactivate: hxxp://omegle-reactivate-account.com"
"omegle","Unlock the ""Spy Mode"" feature for anonymous chatting: hxxp://omegle-spymode.com"
"omegle","Congratulations! You won a premium webcam in our giveaway: hxxp://omegle-webcam-gift.org"
"instagram","Your post has been removed for nudity. Appeal: hxxp://insta-nudity-appeal.com"
"instagram","Your account is eligible for a creator bonus. Enroll: hxxp://insta-creator-bonus.net"
"instagram","New login from a Samsung Galaxy in Berlin. Confirm: hxxp://insta-confirm-login.ru"
"instagram","Your ad campaign has been paused due to payment issues: hxxp://insta-ads-payment.com"
